,title,price,registration,km,displacement,hp,fuel,transmission,category,location,link,brand,town,model
0,  Volkswagen T-Cross '19 T-CROSS 1.0CC,19200,04/2019,40066,1000,96,Petrol,Manual,Manual, RETHYMNO 74100,https://www.car.gr/classifieds/cars/view/326594725-volkswagen-t-cross?lang=en,Volkswagen,RETHYMNO,T-Cross
1,  Renault Clio '19 CLIO DYNAMIC 1.0CC 100HP,18400,12/2019,10059,1000,100,Petrol,Manual,Manual, RETHYMNO 74100,https://www.car.gr/classifieds/cars/view/326139287-renault-clio?lang=en,Renault,RETHYMNO,Clio
2,  Renault Laguna '03 LAGUNA,999,11/2003,188614,1998,155,Petrol,Manual,Manual, RETHYMNO 74100,https://www.car.gr/classifieds/cars/view/26385673-renault-laguna?lang=en,Renault,RETHYMNO,Laguna
3,  Renault Megane '04 1.5 ΠΕΤΡΕΛΑΙΟ!!!,5000,01/2004,162800,1500,100,Diesel,Manual,Manual, AGRINIO 30100,https://www.car.gr/classifieds/cars/view/330007188-renault-megane?lang=en,Renault,AGRINIO,Megane
4,  Nissan Navara '11 Long Bed -LE Automatic,25500,09/2011,99300,2500,192,Diesel,Automatic,Automatic, ALIMOS 17456,https://www.car.gr/classifieds/cars/view/11979977-nissan-navara?lang=en,Nissan,ALIMOS,Navara
5,  Mazda CX-3 '16  SKYACTIV-D 105 *ΝΑVI*EURO6,16490,04/2016,88700,1500,105,Diesel,Manual,Manual, PATRA 26222,https://www.car.gr/classifieds/cars/view/331041639-mazda-cx-3?lang=en,Mazda,PATRA,CX-3
6,  Renault Megane '16 ENERGY*NAVI*DIESEL*EURO6*110PS,15190,07/2016,89000,1461,110,Diesel,Manual,Manual, PATRA 26222,https://www.car.gr/classifieds/cars/view/328775170-renault-megane?lang=en,Renault,PATRA,Megane
7,  Mercedes-Benz GLA 180 '15 PANORAMA*MIDNIGHT PACKET*NAVI,27990,06/2015,85000,1500,109,Diesel,Manual,Manual, PATRA 26222,https://www.car.gr/classifieds/cars/view/331082295-mercedes-benz-gla-180?lang=en,Mercedes-benz,PATRA,GLA
8,  Porsche Cayenne '09 DIESEL*1ΧΕΡΙ*ΕΛΛΗΝΙΚΗΣ ΑΝ/ΠΕΙΑΣ,22200,07/2009,188000,3000,245,Diesel,Automatic,Automatic, PATRA 26222,https://www.car.gr/classifieds/cars/view/331082679-porsche-cayenne?lang=en,Porsche,PATRA,Cayenne
9,  Bmw M3 '90,25000,04/1990,70000,3600,315,Petrol,Manual,Manual, ATHINA 11743,https://www.car.gr/classifieds/cars/view/33326126-bmw-m3?lang=en,Bmw,ATHINA,M3
